TMC_Crossing,Location,Type,Start_Time,End_Time,dur_mins,In_Out,Latitude,Longitude
14th_Main,I-395N north @ MM 9.700,Collision,11/18/2013 14:19,11/18/2013 14:53,34,IN,38.87225,-77.04305
14th_Main,I-395 north,Collision,10/8/2013 18:15,10/8/2013 18:38,23,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Collision,10/9/2013 15:00,10/9/2013 15:39,39,IN,38.87225,-77.04305
14th_Main,I-395 north,Collision,10/22/2013 16:13,10/22/2013 16:45,32,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,10/22/2013 9:54,10/22/2013 10:18,24,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,10/10/2013 6:38,10/10/2013 7:19,41,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,10/21/2013 19:07,10/21/2013 20:07,60,IN,38.873123,-77.043175
14th_HOV,I-395N HOV north @ MM 9.700,Collision,10/10/2013 9:08,10/10/2013 9:49,41,IN,38.8735,-77.04404
14th_Main,I-395S south @ MM 9.700,Collision,12/12/2013 7:46,12/12/2013 8:11,25,OUT,38.873734,-77.044266
14th_Main,I-395S south @ MM 9.700,Collision,12/11/2013 18:28,12/11/2013 18:46,18,OUT,38.873734,-77.044266
14th_Main,I-395 south,Collision,10/10/2013 23:40,10/10/2013 23:41,1,OUT,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Collision,11/27/2013 9:06,11/27/2013 9:41,35,OUT,38.873734,-77.044266
14th_Main,I-395N north @ MM 9.700,Collision,10/15/2013 20:10,10/15/2013 20:41,31,IN,38.87225,-77.04305
14th_Main,I-395N north @ MM 9.700,Collision,12/7/2013 16:47,12/7/2013 17:46,59,IN,38.87225,-77.04305
14th_Main,I-395 north,Collision,12/7/2013 11:01,12/7/2013 11:56,55,IN,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Collision,12/6/2013 16:04,12/6/2013 16:19,15,OUT,38.873734,-77.044266
14th_Main,I-395 north,Collision,10/11/2013 21:03,10/11/2013 22:21,78,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Collision,10/17/2013 8:00,10/17/2013 9:07,67,IN,38.87225,-77.04305
14th_Main,I-395 north,Collision,10/15/2013 6:02,10/15/2013 6:57,55,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,10/15/2013 15:18,10/15/2013 16:11,53,IN,38.873123,-77.043175
14th_Main,I-395 south,Disabled Vehicle,12/1/2013 9:47,12/1/2013 10:26,39,OUT,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,11/29/2013 11:42,11/29/2013 12:16,34,IN,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Disabled Vehicle,11/28/2013 10:58,11/28/2013 11:25,27,OUT,38.873734,-77.044266
14th_Main,I-395 north,Disabled Vehicle,11/19/2013 9:17,11/19/2013 9:21,4,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,11/19/2013 4:37,11/19/2013 4:57,20,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,11/19/2013 0:28,11/19/2013 0:35,7,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,11/12/2013 9:23,11/12/2013 9:41,18,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,12/29/2013 12:42,12/29/2013 12:49,7,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,11/6/2013 5:44,11/6/2013 6:10,26,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,12/30/2013 17:41,12/30/2013 18:42,61,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,10/31/2013 18:52,10/31/2013 19:59,67,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Disabled Vehicle,10/30/2013 9:35,10/30/2013 9:49,14,IN,38.87225,-77.04305
14th_Main,I-395 north,Disabled Vehicle,10/7/2013 7:57,10/7/2013 8:45,48,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,10/10/2013 3:21,10/10/2013 4:25,64,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Disabled Vehicle,10/24/2013 9:58,10/24/2013 10:16,18,IN,38.87225,-77.04305
14th_Main,I-395 north,Disabled Vehicle,10/22/2013 11:35,10/22/2013 13:22,107,IN,38.873123,-77.043175
